,movieCd,movieNm,star_score,star_user_count
0,20030371.0,태극기 휘날리며,9.62,77
1,20040555.0,트로이,9.19,21
2,20040673.0,내 머리 속의 지우개,8.0,36
3,20040649.0,귀신이 산다,8.8,10
4,20159748.0,투모로우랜드,8.99,133
5,20148807.0,엣지 오브 투모로우,9.22,366
6,20040628.0,우리 형,8.31,14
7,20040598.0,해리포터와 아즈카반의 죄수,8.83,48
8,20040566.0,슈렉2,7.35,17
9,20030410.0,실미도,7.68,29
10,20135661.0,어메이징 스파이더맨 2,9.03,695
11,20040491.0,스파이더맨 2,10.0,6
12,20040596.0,바람의 파이터,9.0,11
13,20040721.0,오페라의 유령,8.31,16
14,20040568.0,내 여자친구를 소개합니다,6.95,43
15,20040576.0,늑대의 유혹,7.92,118
16,20150972.0,굿바이 싱글,9.39,1307
17,20040617.0,시실리 2km,7.38,8
18,20040597.0,"아이, 로봇",9.33,24
19,20040641.0,S 다이어리,6.0,8
20,20040613.0,알포인트,8.81,26
21,20070023.0,어깨 너머의 연인,7.43,46
22,20060068.0,"달콤, 살벌한 연인",8.89,281
23,20040743.0,브리짓 존스의 일기2 : 열정과 애정,6.67,6
24,20040481.0,어린 신부,8.0,15
25,20040756.0,하울의 움직이는 성,9.2,195
26,20040700.0,나비효과,10.0,3
27,20040682.0,역도산,7.0,6
28,20040487.0,범죄의 재구성,0.0,1
29,20040580.0,반 헬싱,9.62,8
30,20040695.0,이프 온리,8.72,78
31,20040657.0,여선생 VS 여제자,7.92,12
32,20040525.0,패션 오브 크라이스트,8.61,28
33,20040488.0,아라한 장풍대작전,7.75,8
34,20040573.0,킹 아더,7.8,5
35,20040585.0,내 남자의 로맨스,4.5,2
36,20040483.0,효자동 이발사,0.0,0
37,20040583.0,아는 여자,8.72,62
38,20040595.0,"달마야, 서울 가자",5.0,1
39,20040612.0,신부수업,4.5,2
40,20040717.0,블레이드 3,10.0,1
41,20040619.0,슈퍼스타 감사용,8.7,27
42,20040745.0,인크레더블,8.5,52
43,20080830.0,인크레더블 헐크,8.92,157
44,20149511.0,분신사바 2,7.72,79
45,20040593.0,분신사바,6.29,7
46,20030433.0,말죽거리 잔혹사,7.92,14
47,20040655.0,콜래트럴,8.5,4
48,20040567.0,투 가이즈,8.25,8
49,20040659.0,돈 텔 파파,6.83,12
50,20040624.0,누구나 비밀은 있다,5.4,5
51,20040651.0,꽃피는 봄이 오면,8.1,10
52,20040642.0,80일간의 세계 일주,9.17,6
53,20040515.0,인어 공주,1.0,2
54,20030413.0,목포는 항구다,6.67,3
55,20040734.0,노트북,9.71,34
56,20030316.0,반지의 제왕 : 왕의 귀환,9.31,68
57,20040650.0,빌리지,6.5,6
58,20040498.0,그놈은 멋있었다,4.8,50
59,20040615.0,본 슈프리머시,9.62,8
60,20040696.0,레지던트 이블 2-아포칼립스,8.56,9
61,20040625.0,얼굴 없는 미녀,7.0,2
62,20040656.0,세상의 중심에서 사랑을 외치다,8.39,38
63,20040670.0,맨 온 파이어,9.5,8
64,20030430.0,라스트 사무라이,10.0,8
65,20040446.0,그녀를 믿지 마세요,8.95,20
66,20030435.0,내사랑 싸가지,3.83,36
67,20040618.0,리딕 - 헬리온 최후의 빛,10.0,7
68,20119137.0,가필드 펫 포스 3D,7.5,16
69,20090062.0,가필드-마법의 샘물,8.28,18
70,20060194.0,가필드 2,8.76,34
71,20040616.0,가필드,7.75,4
72,20040706.0,알렉산더,8.15,13
73,20150977.0,좋아해줘,9.19,364
74,20153182.0,썸니아,8.81,21
75,20090683.0,500일의 썸머,9.38,109
76,20060164.0,착신아리 파이널,8.15,100
77,20050072.0,착신아리2,7.28,18
78,20040482.0,맹부삼천지교,6.0,3
79,20040484.0,하류인생,8.5,6
80,20040614.0,인형사,7.5,4
81,20040748.0,폴라 익스프레스,8.37,41
82,20040715.0,포가튼,6.88,8
83,20040559.0,나두야 간다,10.0,1
84,20040669.0,캣우먼,6.4,5
85,20040526.0,첫키스만 50번째,8.76,17
86,20040471.0,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,5.75,4
87,20080010.0,에이리언 VS 프레데터2 ,9.3,342
88,20040648.0,에이리언 VS 프레데터,8.29,17
89,20040637.0,쓰리 몬스터,7.5,4
90,20040610.0,화씨 911,7.0,6
91,20040676.0,스텝포드 와이프,10.0,1
92,20040752.0,까불지마,7.82,11
93,20040569.0,디 아이2,5.67,6
94,20040570.0,옹박 - 무에타이의 후예,9.56,9
95,20030420.0,동해물과 백두산이,4.0,3
96,20040442.0,피터 팬,10.0,10
97,20040467.0,사랑할 때 버려야 할 아까운 것들,7.0,5
98,20040556.0,킬 빌2,0.0,1
99,20070549.0,내셔널 트레져:비밀의 책,9.06,157
100,20040755.0,내셔널 트레져,8.08,12
101,20040443.0,페이첵,7.0,3
102,20040685.0,프린세스 다이어리 2,9.0,11
103,20040690.0,2046,6.2,5
104,20040456.0,어깨동무,0.0,0
105,20040489.0,여자는 남자의 미래다,7.0,1
106,20040623.0,헬보이,8.89,9
107,20081332.0,헬보이 2 : 골든 아미,9.28,113
108,20040553.0,새벽의 저주,9.41,17
109,20040689.0,비포 선셋,9.07,14
110,20040738.0,"DMZ, 비무장지대",5.5,10
111,20158981.0,하나와 앨리스: 살인사건,9.1,41
112,20040704.0,하나와 앨리스,7.31,16
113,20040499.0,저지 걸,6.25,4
114,20040716.0,모터사이클 다이어리,6.83,6
115,20040581.0,퀸카로 살아남는 법,9.27,12
116,20040672.0,발레 교습소,7.9,30
117,20040591.0,데스티네이션 2,10.0,5
118,20040496.0,아홉살 인생,8.9,39
119,20040711.0,화이트 칙스,8.5,18
120,20040731.0,엑소시스트: 더 비기닝,5.0,4
121,20040462.0,빅 피쉬,9.21,30
122,20040688.0,빈집,7.2,5
123,20040723.0,사랑에 빠지는 아주 특별한 법칙,8.0,1
124,20040680.0,21 그램,8.0,3
125,20040608.0,거미숲,9.0,5
126,20136810.0,러브액츄얼리: 크리스마스 에디션,9.11,37
127,20030404.0,러브 액츄얼리,9.11,37
128,20040663.0,노 브레인 레이스,0.0,0
129,20154242.0,몬스터 호텔 2,9.42,450
130,20155441.0,몬스터 헌트,7.25,159
131,20040441.0,빙우,0.0,0
132,20149307.0,로코왕국의 전설: 엘프킹을 찾아서,9.07,14
133,20040461.0,콜드 마운틴,9.4,10
134,20040766.0,여고생 시집가기,3.43,102
135,20040582.0,내 남자 친구는 왕자님,10.0,2
136,20040472.0,귀여워,3.25,4
137,20040654.0,진주 귀걸이를 한 소녀,8.92,12
138,20040750.0,신석기 블루스,5.5,2
139,20040486.0,마지막 늑대,0.0,0
140,20040600.0,프레디 대 제이슨-13일의 금요일11,7.5,6
141,20040694.0,완벽한 그녀에게 딱 한가지 없는 것,10.0,1
142,20040586.0,돌려차기,8.56,25
143,20040739.0,신암행어사,7.69,13
144,20030434.0,안녕! 유에프오,0.0,0
145,20040703.0,"조제, 호랑이 그리고 물고기들",8.14,73
146,20040524.0,테이킹 라이브즈,1.0,1
147,20040522.0,폴리와 함께,0.0,0
148,20040509.0,모나리자 스마일,8.4,5
149,20113920.0,토르: 마법망치의 전설,8.78,122
150,20040565.0,망치,10.0,1
151,20040476.0,사랑도 통역이 되나요?,6.33,4
152,20040607.0,갓센드,7.0,1
153,20030426.0,더 캣,9.86,7
154,20030439.0,그녀를 모르면 간첩,4.71,14
155,20040519.0,히달고,7.5,4
156,20040732.0,팜므 파탈,10.0,1
157,20040550.0,헌티드 맨션,6.5,2
158,20040447.0,스쿨 오브 락,8.84,51
159,20040746.0,서바이빙 크리스마스,0.0,0
160,20040533.0,인 더 컷,0.0,1
161,20040588.0,레이디킬러,10.0,1
162,20040521.0,더티 댄싱 - 하바나 나이트,8.0,2
163,20030440.0,자토이치,0.0,1
164,20040528.0,고티카,0.0,0
165,20100330.0,런어웨이즈,9.55,51
166,20040448.0,타임라인,8.5,2
167,20040730.0,영 아담,0.0,0
168,20040584.0,대단한 유혹,10.0,1
169,20040549.0,천공의 성 라퓨타,8.7,45
170,20040647.0,도마 안중근,3.63,30
171,20040666.0,나쁜 교육,10.0,2
